archetype,default,adhd,dyslexia,autism,blind,low_vision,deaf,hard_of_hearing,dyscalculia,dysgraphia,anxiety,intellectual,motor
persistent_struggler,0.6150,0.6954,0.6194,0.6800,0.6333,0.6393,0.6083,0.6265,0.6861,0.6235,0.7632,0.8421,0.6711
distracted_capable,0.5775,0.6379,0.6217,0.5233,0.6000,0.6036,0.5750,0.5647,0.5528,0.6206,0.5789,0.5342,0.5974
slow_accurate,0.7275,0.8131,0.7000,0.7233,0.7750,0.7607,0.7792,0.7765,0.7611,0.6971,0.7605,0.7684,0.7921
consistent_literal,0.6700,0.7134,0.5994,0.7667,0.6042,0.5893,0.6292,0.6382,0.6417,0.6059,0.6579,0.7263,0.6579
strong_all_round,0.8575,0.8787,0.8429,0.8680,0.8492,0.8407,0.8517,0.8488,0.8367,0.8424,0.8484,0.8521,0.8721
